,Authors,Title,Source title,Volume,Number,Pages,Year,Publisher
0,"Beed, Fenton D; Garrett, K; Kroschel, Jürgen; ",Scientific review and planning workshop: management of critical pests and diseases of RTBs through enhanced risk assessment and surveillance (CRP-RTB)”“Modeling climate impacts on pests and diseases,,,,,2012.0,International Potato Center
1,"Ojiambo, PS; Yuen, J; Van den Bosch, F; Madden, LV; ","Epidemiology: past, present, and future impacts on understanding disease dynamics and improving plant disease management—a summary of focus issue articles",Phytopathology,107.0,10.0,1092-1094,2017.0,Am Phytopath Society
2,"Mehmood, Muhammad Zeeshan; Afzal, Obaid; Aslam, Muhammad Aqeel; Riaz, Hasan; Raza, Muhammad Ali; Ahmed, Shakeel; Qadir, Ghulam; Ahmad, Mukhtar; Shaheen, Farid Asif; Shah, Zahid Hussain; ",Disease modeling as a tool to assess the impacts of climate variability on plant diseases and health,systems modeling,,,327-351,2020.0,Springer
3,"Newbery, Fay; Qi, Aiming; Fitt, Bruce DL; ","Modelling impacts of climate change on arable crop diseases: progress, challenges and applications",Current opinion in plant biology,32.0,,101-109,2016.0,Elsevier
4,"Tilumanywa, Verdiana T; ",Improving Agricultural Support Services for Smallholder Farmers' Adaptation to Climate Variability in Rungwe District in Tanzania,Tanzania Journal of Development Studies,19.0,1.0,,2021.0,
5,"Hunjan, Mandeep Singh; Lore, Jagjeet Singh; ","Climate change: Impact on plant pathogens, diseases, and their management",Crop protection under changing climate,,,85-100,2020.0,Springer
6,"Skelsey, Peter; Humphris, Sonia N; Campbell, Emma J; Toth, Ian K; ",Threat of establishment of non-indigenous potato blackleg and tuber soft rot pathogens in Great Britain under climate change,PloS one,13.0,10.0,e0205711,2018.0,"Public Library of Science San Francisco, CA USA"
7,"Ali, Faizan; Rehman, Abdul; Hameed, Akhtar; Sarfraz, Sohaib; Rajput, Nasir Ahmed; Atiq, Muhammad; ",Climate change impact on plant pathogen emergence: artificial intelligence (AI) approach,Plant quarantine challenges under climate change anxiety,,,281-303,2024.0,Springer
8,"Moschini, Ricardo C; Martínez, Malvina I; Sepulcri, María G; ",CAPÍTULO XXI SISTEMAS DE PRONÓSTICO DE ENFERMEDADES,,,,,,
9,"Kamruzzaman, Mohammad; Biswas, Jatish Chandra; Islam, HM Touhidul; Hossain, AMK Zakir; ",Interannual Climate Variability and Its Impacts on Major Crop Productivity,Climate Change and Soil-Water-Plant Nexus: Agriculture and Environment,,,297-329,2024.0,Springer
10,"Launay, Marie; Caubel, Julie; Bourgeois, Gaétan; Huard, Frédéric; de Cortazar-Atauri, Iñaki Garcia; Bancal, Marie-Odile; Brisson, Nadine; ",Climatic indicators for crop infection risk: application to climate change impacts on five major foliar fungal diseases in Northern France,"Agriculture, ecosystems & environment",197.0,,147-158,2014.0,Elsevier
11,"Skelsey, Peter; Cooke, David EL; Lynott, James S; Lees, Alison K; ",Crop connectivity under climate change: future environmental and geographic risks of potato late blight in Scotland,Global change biology,22.0,11.0,3724-3738,2016.0,Wiley Online Library
12,"Mandal, SN; Sinha, Parimal; ",Pest and Disease Monitoring and Surveillance for Ensuring Food Security,Innovations in Agriculture for a Self-Reliant India,,,293-304,2021.0,CRC Press
13,"Choi, YH; Powers, SJ; Bohan, DA; Semenov, MA; Glen, DM; Wiltshire, CW; Brain, P; ",Modelling the dynamics of slug and nematode interaction incorporating response to environmental variables,"Abstracts IMA Conference on Mathematical Modelling and Statistical Analysis of Infectious Diseases, Cardiff, 11-13 September 2001",,,,2001.0,
14,"Nopsa, John Fredy Hernández; ","Cambio climático, epidemiología vegetal y control biológico de fitopatógenos",,,,,,
15,"Mohanty, UC; Sinha, Palash; Nageswara Rao, MM; Swain, Dillip Kumar; Singh, KK; ",Generation of Climate Risk Matrices,Climate Risk Management in Agriculture: Monthly and Seasonal Forecast Application,,,225-261,2024.0,Springer
16,"Fraisse, CW; Breuer, NE; Zierden, D; Bellow, JG; Paz, J; Cabrera, VE; y Garcia, A Garcia; Ingram, KT; Hatch, U; Hoogenboom, G; ",AgClimate: A climate forecast information system for agricultural risk management in the southeastern USA,Computers and electronics in agriculture,53.0,1.0,13-27,2006.0,Elsevier
17,"Scherm, H; Sutherst, RW; Harrington, R; Ingram, JSI; ",Global networking for assessment of impacts of global change on plant pests,Environmental Pollution,108.0,3.0,333-341,2000.0,Elsevier
18,"Garrett, Karen A; Thomas-Sharma, Sara; Forbes, Gregory A; Hernandez Nopsa, John F; Plex Sulá, Aaron I; ",Climate Change and Plant Pathogen Invasions,Invasive Species and Global Climate Change,,,22-49,2022.0,CABI GB
