;Publication Type;Authors;Book Authors;Group Authors;Book Group Authors;Researcher Ids;ORCIDs;Book Editors;Author - Arabic;Grant Principal Investigator;Grant Co Principal Investigator;Article Title;Article Title - SciELO;Article Title - SciELO.1;Article Title - Chinese;Article Title - Russian;Patent Number;Patent Assignee;Source Title - Arabic;Source Title;Source Title - Korean;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;Version;Version History;DOI;Book DOI;License Name;License URI;License Description;Early Access Date;Supplement;Document Type;Publication Date;Publication Year;Abstract;Abstract - Foreign;Abstract - English Transliteration;Abstract - Foreign.1;Abstract - Korean;Conference Title;Conference Date;Conference Sponsor;Conference Location;Times Cited, WoS Core;Times Cited, CSCD;Times Cited, RSCI;Times Cited, ARCI;Times Cited, BCI;Times Cited, SCIELO;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Grant Number;No of References;Cited References;Language;Advisor;Committee Member;Copyright;Degree Name;Institution Address;Institution;Dissertation and Thesis Subjects;Author Keywords;Indexed Date;UT (Unique ID);Pubmed Id;Unnamed: 78
0;J;Shakya S. K., Goss E. M., Dufault N. S., van Bruggen A. H. C.;;;;Goss, Erica/H-7020-2014 Narouei-Khandan, Hossein/ABD-8745-2021;Shakya, Shankar/0000-0002-8439-9009 Goss, Erica/0000-0003-3512-2107;;;;;Potential Effects of Diurnal Temperature Oscillations on Potato Late Blight with Special Reference to Climate Change;;;;;;;;PHYTOPATHOLOGY;;;;105.0;2.0;;;230;238;;;;10.1094/PHYTO-05-14-0132-R;;;;;;;Article;FEB 2015;2015;Global climate change will have effects on diurnal temperature oscillations as well as on average temperatures. Studies on potato late blight (Phytophthora infestans) development have not considered daily temperature oscillations. We hypothesize that growth and development rates of P. infestans would be less influenced by change in average temperature as the magnitude of fluctuations in daily temperatures increases. We investigated the effects of seven constant (10, 12, 15, 17, 20, 23, and 27 degrees C) and diurnally oscillating (+/- 5 and +/- 10 degrees C) temperatures around the same means on number of lesions, incubation period, latent period, radial lesion growth rate, and sporulation intensity on detached potato leaves inoculated with two P. infestans isolates from clonal lineages US-8 and US-23. A four-parameter thermodynamic model was used to describe relationships between temperature and disease development measurements. Incubation and latency progression accelerated with increasing oscillations at low mean temperatures but slowed down with increasing oscillations at high mean temperatures (P < 0.005), as hypothesized. Infection efficiency, lesion growth rate, and sporulation increased under small temperature oscillations compared with constant temperatures but decreased when temperature oscillations were large. Thus, diurnal amplitude in temperature should be considered in models of potato late blight, particularly when predicting effects of global climate change on disease development.;;;;;;;;;31;0;0;0;25;2;34;0;61;0031-949X;1943-7684;;;;;;;;;;;;;;2015-02-01;WOS:000347954500008;25140388.0;
1;J;Oro Violeta, Knezevic Magdalena, Dinic Zoran, Delic Dusica;;;;Oro, Violeta/AFR-4889-2022 Knežević, Magdalena/GXH-8542-2022 Dinic, Zoran/S-7216-2016;Knezevic, Magdalena/0000-0003-0186-3652 Delic, Dusica/0000-0002-0626-0482 Dinic, Zoran/0000-0003-4109-4106;;;;;Bacterial Microbiota Isolated from Cysts of Globodera rostochiensis (Nematoda: Heteroderidae);;;;;;;;PLANTS-BASEL;;;;9.0;9.0;;;;;1146;;;10.3390/plants9091146;;;;;;;Article;SEP 2020;2020;The potato cyst nematode (PCN) Globodera rostochiensis is a plant parasite of potato classified into a group of quarantine organisms causing high economic losses worldwide. Due to the long persistence of the parasite in soil, cysts harbor numerous bacteria whose presence can lead to cyst death and population decline. The cysts of G. rostochiensis found in two potato fields were used as a source of bacteria. The universal procedure was applied to extract DNA from bacteria which was then sequenced with 16S primers. The aims of the study were to identify bacterial microbiota associated with the PCN populations and to infer their phylogenetic relationships based on the maximum likelihood and Bayesian phylogeny of the 16S sequences. In addition, the impact of the most significant climate and edaphic factors on bacterial diversity were evaluated. Regarding the higher taxonomy, our results indicate that the prevalent bacterial classes were Bacilli, Actinobacteria and Alphaproteobacteria. Phylogenetic analyses clustered Brevibacterium frigoritolerans within the family Bacillaceae, confirming its recent reclassification. Long-term climate factors, such as air temperature, insolation hours, humidity and precipitation, as well as the content of soil organic matter, affected the bacterial diversity. The ability of cyst nematodes to persist in soil for a long time qualifies them as a significant natural source to explore the soil bacterial microbiota.;;;;;;;;;10;0;0;0;7;0;11;0;7;2223-7747;;;;;;;;;;;;;;;2020-11-05;WOS:000581378800001;32899615.0;
2;J;Narouei-Khandan Hossein A., Shakya Shankar K., Garrett Karen A., Goss Erica M., Dufault Nicholas S., Andrade-Piedra Jorge L., Asseng Senthold, Wallach Daniel, van Bruggen Ariena H. C.;;;;Goss, Erica/H-7020-2014 Narouei-Khandan, Hossein/I-3295-2019 Asseng, Senthold/Y-6014-2019;Asseng, Senthold/0000-0002-7583-3811 Goss, Erica/0000-0003-3512-2107 Narouei-Khandan, Hossein Ali/0000-0002-4218-5934 Garrett, Karen/0000-0002-6578-1616 Andrade-Piedra, Jorge/0000-0001-7617-0506 Shakya, Shankar/0000-0002-8439-9009;;;;;BLIGHTSIM: A New Potato Late Blight Model Simulating the Response of Phytophthora infestans to Diurnal Temperature and Humidity Fluctuations in Relation to Climate Change;;;;;;;;PATHOGENS;;;;9.0;8.0;;;;;659;;;10.3390/pathogens9080659;;;;;;;Article;AUG 2020;2020;Temperature response curves under diurnal oscillating temperatures differ from those under constant conditions for all stages of thePhytophthora infestansinfection cycle on potatoes. We developed a mechanistic model (BLIGHTSIM) with an hourly time step to simulate late blight under fluctuating environmental conditions and predict late blight epidemics in potato fields. BLIGHTSIM is a modified susceptible (S), latent (L), infectious (I) and removed (R) compartmental model with hourly temperature and relative humidity as driving variables. The model was calibrated with growth chamber data covering one infection cycle and validated with field data from Ecuador. The model provided a good fit to all data sets evaluated. There was a significant interaction between average temperature and amplitude in their effects on the area under the disease progress curve (AUDPC) as predicted from growth chamber data on a single infection cycle. BLIGHTSIM can be incorporated in a potato growth model to study effects of diurnal temperature range on late blight impact under climate change scenarios.;;;;;;;;;17;1;0;0;14;0;17;4;31;;2076-0817;;;;;;;;;;;;;;2020-09-15;WOS:000564641200001;32824250.0;
3;J;Sparks Adam H., Forbes Gregory A., Hijmans Robert J., Garrett Karen A.;;;;Hijmans, Robert/N-3299-2016 Sparks, Adam H./D-3607-2011;Sparks, Adam H./0000-0002-0061-8359 Garrett, Karen/0000-0002-6578-1616 Hijmans, Robert/0000-0001-5872-2872;;;;;Climate change may have limited effect on global risk of potato late blight;;;;;;;;GLOBAL CHANGE BIOLOGY;;;;20.0;12.0;;;3621;3631;;;;10.1111/gcb.12587;;;;;;;Article;DEC 2014;2014;Weather affects the severity of many plant diseases, and climate change is likely to alter the patterns of crop disease severity. Evaluating possible future patterns can help focus crop breeding and disease management research. We examined the global effect of climate change on potato late blight, the disease that caused the Irish potato famine and still is a common potato disease around the world. We used a metamodel and considered three global climate models for the A2 greenhouse gas emission scenario for three 20-year time-slices: 2000-2019, 2040-2059 and 2080-2099. In addition to global analyses, five regions were evaluated where potato is an important crop: the Andean Highlands, Indo-Gangetic Plain and Himalayan Highlands, Southeast Asian Highlands, Ethiopian Highlands, and Lake Kivu Highlands in Sub-Saharan Africa. We found that the average global risk of potato late blight increases initially, when compared with historic climate data, and then declines as planting dates shift to cooler seasons. Risk in the agro-ecosystems analyzed, varied from a large increase in risk in the Lake Kivu Highlands in Rwanda to decreases in the Southeast Asian Highlands of Indonesia.;;;;;;;;;64;2;0;0;44;3;71;3;134;1354-1013;1365-2486;;;;;;;;;;;;;;2014-12-01;WOS:000344375700007;24687916.0;
4;J;Gent DH, Schwartz HF;;;;;;;;;;Validation of potato early blight disease forecast models for Colorado using various sources of meteorological data;;;;;;;;PLANT DISEASE;;;;87.0;1.0;;;78;84;;;;10.1094/PDIS.2003.87.1.78;;;;;;;Article;JAN 2003;2003;Disease forecasts from regional or remotely sensed meteorological data free growers from infield weather data monitoring and may improve disease forecast implementation. This study was initiated to validate potato early blight forecast models in Colorado and to determine the influence of sources of meteorological data on forecast accuracy. Hourly temperatures were recorded by Campbell Scientific CR-10, Pessl Instruments muMetos Model MCR300, and Spectrum Technologies Model 450 WatchDog weather stations and data loggers within potato fields field-specific temperature estimations generated by mPOWER3/EMERGE from off-site weather stations, and regional COAGMET CR-10 weather stations. Mean hourly temperature deviations between mPOWER3/EMERGE or in-field stations and COAGMET varied from 0.93degreesC greater to 1.11degreesC less than COAGMET observations. Initial appearance of early blight lesions was predicted using a 300 physiological day threshold in commercial fields in each year from 1998 to 2001 and in experimental plots in each year from 1997 to 2001 as determined by COAGMET meteorological observations. All sources of meteorological data generated early blight forecasts within 6 days of each other across all locations and years. COAGMET weather stations should free potato growers and integrated pest management personnel from collecting in-field microclimatic data and speed the implementation of disease forecasting.;;;;;;;;;17;0;0;0;10;1;20;0;15;0191-2917;;;;;;;;;;;;;;;2003-01-01;WOS:000180215200014;30812705.0;
5;J;Meno Laura, Escuredo Olga, Rodriguez-Flores Maria Shantal, Seijo Maria Carmen;;;;Escuredo, Olga/ABH-5428-2020 Meno, Laura/ACS-9089-2022 Maria Carmen, Seijo-Coello/L-1946-2014;Maria Carmen, Seijo-Coello/0000-0001-8289-6717 Rodriguez-Flores, Maria Shantal/0000-0002-2387-630X Meno Farinas, Laura/0000-0002-5774-1470 Escuredo, Olga/0000-0001-6156-9274;;;;;Modification of the TOMCAST Model with Aerobiological Data for Management of Potato Early Blight;;;;;;;;AGRONOMY-BASEL;;;;10.0;12.0;;;;;1872;;;10.3390/agronomy10121872;;;;;;;Article;DEC 2020;2020;The present study focuses on establishing thresholds of weather variables for predict early blight in potato crops. For this, the TOMCAST model was adjusted using weather variables and Alternaria conidia levels (mainly A. solani and A. alternata) during six growing seasons in A Limia (Northwest Spain). TOMCAST for the effective management of early blight considers leaf wetness and air temperature to calculate daily severity values (DSVs). Spearman correlations between temperature (minimum and average), mean temperature during leaf wetness period and Alternaria concentration showed the highest positive significant coefficients (0.386, 0.230 and 0.372, respectively p < 0.01). Specifically, Alternaria levels higher than 50 spores/m(3) were found the days with air mean temperature above 18 degrees C, more than 7 h of leaf wetness. Leaf wetness was decisive to estimate the concentration of Alternaria, resulting in a significant linear regression model (R-2 = 0.41 p < 0.001). TOMCAST was adapted to the area, considering 10 degrees C the minimum threshold for the mean value of temperature during the wet period and 10-15 accumulated disease severity values (DSV). Using TOMCAST, it was possible to predict the first Alternaria peak in most of potato growing seasons. Combining aerobiological and meteorological data to control fungal diseases during crops are a useful tool for sustainable agriculture.;;;;;;;;;12;0;0;0;5;0;13;0;3;;2073-4395;;;;;;;;;;;;;;2021-01-12;WOS:000601877200001;;
6;J;Skelsey Peter, Rossing Walter A. H., Kessel Geert J. T., van der Werf Wopke;;;;Skelsey, Peter/L-7786-2013 van der Werf, Wopke/A-2557-2009;Skelsey, Peter/0000-0002-7316-1951 van der Werf, Wopke/0000-0002-5506-4699;;;;;Invasion of Phytophthora infestans at the Landscape Level: How Do Spatial Scale and Weather Modulate the Consequences of Spatial Heterogeneity in Host Resistance?;;;;;;;;PHYTOPATHOLOGY;;;;100.0;11.0;;;1146;1161;;;;10.1094/PHYTO-06-09-0148;;;;;;;Article;NOV 2010;2010;Strategic spatial patterning of crop species and cultivars could make agricultural landscapes less vulnerable to plant disease epidemics, but experimentation to explore effective disease-suppressive landscape designs is problematic. Here, we present a realistic, multiscale, spatio-temporal, integrodifference equation model of potato late blight epidemics to determine the relationship between spatial heterogeneity and disease spread, and determine the effectiveness of mixing resistant and susceptible cultivars at different spatial scales under the influence of weather. The model framework comprised a landscape generator, a potato late blight model that includes host and pathogen life cycles and fungicide management at the field scale, and an atmospheric dispersion model that calculates spore dispersal at the landscape scale. Landscapes consisted of one or two distinct potato-growing regions (6.4-by-6.4-km) embedded within a nonhost matrix. The characteristics of fields and growing regions and the separation distance between two growing regions were investigated for their effects on disease incidence, measured as the proportion of fields with >= 1% severity, after inoculation of a single potato grid cell with a low initial level of disease. The most effective spatial strategies for suppressing disease spread in a region were those that reduced the acreage of potato or increased the proportion of a resistant potato cultivar. Clustering potato cultivation in some parts of a region, either by planting in large fields or clustering small fields, enhanced the spread within such a cluster while it delayed spread from one cluster to another however, the net effect of clustering was an increase in disease at the landscape scale. The planting of mixtures of a resistant and susceptible cultivar was a consistently effective option for creating potato-growing regions that suppressed disease spread. It was more effective to mix susceptible and resistant cultivars within fields than plant some fields entirely with a susceptible cultivar and other fields with a resistant cultivar, at the same ratio of susceptible to resistant potato plants at the landscape level. Separation distances of at least 16 km were needed to completely prevent epidemic spread from one potato-growing region to another. Effects of spatial placement of resistant and susceptible potato cultivars depended strongly on meteorological conditions, indicating that landscape connectivity for the spread of plant disease depends on the particular coincidence between direction of spread, location of fields, distance between the fields, and survival of the spores depending on the weather. Therefore, in the simulation of (airborne) pathogen invasions, it is important to consider the large variability of atmospheric dispersion conditions.;;;;;;;;;70;0;1;0;63;3;74;1;62;0031-949X;1943-7684;;;;;;;;;;;;;;2010-11-01;WOS:000283390700003;20932163.0;
7;J;Escuredo Olga, Seijo-Rodriguez Ana, Meno Laura, Shantal Rodriguez-Flores Maria, Carmen Seijo Maria;;;;Escuredo, Olga/ABH-5428-2020 Meno, Laura/ACS-9089-2022 Maria Carmen, Seijo-Coello/L-1946-2014;Maria Carmen, Seijo-Coello/0000-0001-8289-6717 Rodriguez-Flores, Maria Shantal/0000-0002-2387-630X Meno Farinas, Laura/0000-0002-5774-1470 Escuredo, Olga/0000-0001-6156-9274;;;;;Seasonal Dynamics of Alternaria during the Potato Growing Cycle and the Influence of Weather on the Early Blight Disease in North-West Spain;;;;;;;;AMERICAN JOURNAL OF POTATO RESEARCH;;;;96.0;6.0;;;532;540;;;;10.1007/s12230-019-09739-2;;;;;NOV 2019;;Article;DEC 2019;2019;Early blight caused mainly by Alternaria solani Soraeur and Alternaria alternata (Fr.) Keissl is one of the main diseases of potato. To improve forecasting of disease risk and to provide useful tools for a good decision support system, knowledge about the influence of environmental conditions on the Alternaria species, is necessary. The pattern distribution of the Alternaria spores during eight potato growing cycles in A Limia (north-west Spain), and the relationships between Alternaria levels and meteorological parameters were analyzed. Also, the phenology of the potato plants and the meteorological conditions during the study were monitored. Higher Alternaria peaks were found during plant senescence. Nevertheless, extremely high levels can appear starting the plant flowering, when the disease is more destructive. Statistical analysis showed a close relationship between temperature and relative humidity with the concentration of Alternaria in the air. Higher Alternaria levels were observed with a mean temperature above 20 degrees C and a mean relative humidity below 70%. It is also important to highlight that lower temperature and higher relative humidity during the night, favours the formation of Alternaria spores during the day. The present study showed how differences in weather can be related with the presence of Alternaria spores in the atmosphere of potato crop, and how climate change could affect the development of this agricultural crop. If Spain continues to experience increases in temperature events, longer duration and increasing intensity of early blight epidemics in potato crops are expected in future years.;;;;;;;;;17;0;0;0;6;0;17;1;23;1099-209X;1874-9380;;;;;;;;;;;;;;2019-11-30;WOS:000499570300003;;
8;J;Moh A. A., Massart S., Jijakli M. H., Lepoivre P.;;;;;;;;;;MODELS TO PREDICT THE COMBINED EFFECTS OF TEMPERATURE AND RELATIVE HUMIDITY ON PECTOBACTERIUM ATROSEPTICUM AND PECTOBACTERIUM CAROTOVORUM subsp CAROTOVORUM POPULATION DENSITY AND SOFT ROT DISEASE DEVELOPMENT AT THE SURFACE OF WOUNDED POTATO TUBERS;;;;;;;;JOURNAL OF PLANT PATHOLOGY;;;;94.0;1.0;;;181;191;;;;;;;;;;;Article;MAR 2012;2012;The main objectives of this study were to evaluate and model the influence of temperature (10, 15 and 20 C), relative humidity (86, 96 and 100%) and initial concentration of bacterial inoculum (10(5), 10(7) et 10(9) CFU ml(-1)) on the population density of Pectobacterium atrosepticum (Pba) and Pectobacterium carotovorum subsp. carotovorum (Pcc) which are important potato pathogens in temperate climates, and on the development of soft rot symptoms caused by these bacteria at the surface of wounded potatoes tubers under controlled conditions. Experiments were carried out according to a Box-Behnken experimental design, simplifying prediction of the combined effects of three controlled factors. With both bacterial species, statistical analysis showed a significant effect of temperature, relative humidity and initially applied bacterial concentration on population dynamics and soft rot development at the surface of wounded potato tubers. Multiple regression analyses and the contour plots showed that the temperature is the most important factor, followed by the initially applied bacteria concentration and relative humidity. More than 64% of the variability of the soft rot symptoms observed could be explained by the presence of Pba and Pcc at the level of wounded potato tubers under the combined effect of tested factors. The quadratic polynomial models developed in our research should integrate the heterogeneity of tested bacteria belonging to the same species (which was not evaluated in this preliminary investigation) in further research.;;;;;;;;;6;3;0;0;4;1;11;0;26;1125-4653;2239-7264;;;;;;;;;;;;;;2012-04-25;WOS:000302375300018;;
9;J;Johnson Dennis A, Alldredge J Richard, Hamm Philip B;;;;;;;;;;Expansion of Potato Late Blight Forecasting Models for the Columbia Basin of Washington and Oregon.;;;;;;;;Plant disease;;;;82.0;6.0;;;642;645;;;;10.1094/PDIS.1998.82.6.642;;;;;;;Journal Article;1998-Jun;1998;A regional potato late blight forecasting system for irrigated potatoes in the semiarid environment of the Columbia Basin was expanded by developing specific forecasting models for four vicinities throughout the Basin. Relationships between weather and outbreaks of late blight at the locations over a 27-year period were examined using logistic regression analysis. The response variable was a year either with or without a late blight outbreak. An indicator variable representing the occurrence of an outbreak during the preceding year (Yp) and number of days of rain during April and May (Ram) correctly classified the disease status (presence or absence of late blight) of 89, 82, 78, and 78% of the years at Prosser, Washington, Hermiston, Oregon, and Hanford and Othello, Washington, respectively. The percentage of years with disease outbreaks correctly classified was 93, 85, 79, and 79% at the four respective locations. All years with late blight outbreaks and 96% of the total years were correctly classified using data from at least one of the four locations. These predictors are particularly important early in the growing season and can be used to make area forecasts. A second set of predictors, Yp and number of days of rain in July and August (Rja), for Hermiston and Hanford, and a third set, Yp, Ram, and Rja, for Prosser and Othello were found effective for making additional late blight forecasts later in the growing season.;;;;;;;;;24;0;0;0;14;1;27;1;13;0191-2917;;;;;;;;;;;;;;;1998-06-01;MEDLINE:30857014;30857014.0;
