Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Castellanos, Leónides; Rivero, Teresa; Porras, Ángela; Pajón, José; ",Modelación matemática de Alternaria solani Sor. en papa en función de las variables meteorológicas y la edad del cultivo,Fitosanidad,9,1,27-32,2005,Instituto de Investigaciones de Sanidad Vegetal
"Escalante Ortiz, Marlyn; Farrera Pino, René; ",Epidemiiología del tizón tardío (Phytophthora infestans mont de Bary) de la papa en zonas productoras del estado Táchira Venezuela.,Bioagro,16,1,47-54,2004,"Universidad Centroccidental"" Lisandro Alvarado""(UCLA)"
"Ibrahim, Esther S; Nendel, Claas; Kamali, Bahareh; Gajere, Efron N; Hostert, Patrick; ",Predicting potato diseases in smallholder agricultural areas of Nigeria using machine learning and remote sensing-based climate data,PhytoFrontiers™,4,2,89-105,2024,Am Phytopath Society
"Gómez, Guadalupe; Suárez, Magaly; Suárez, Isabel; Montero, Jorge; Arredondo, María Eugenia; Rivero, Teresa; Hernández, Alexis; Díaz, Elidia; Martínez, Edilma; ",Pronóstico del Tizón tardío (Phytophthora infestans (Mont.) de Bary) de la papa en Cuba. IV. Estudio de los períodos favorables para el desarrollo de la enfermedad y su relación con el clima,Fitosanidad,7,2,63-66,2003,Instituto de Investigaciones de Sanidad Vegetal
"Henderson, Donna; Williams, Christopher J; Miller, Jeffrey S; ",Forecasting late blight in potato crops of southern Idaho using logistic regression analysis,Plant disease,91,8,951-956,2007,Am Phytopath Society
"Gómez, Guadalupe; Rodríguez, J; Pedroso, Ana; Sarmiento, A; Castellanos, L; González, Mercedes; Álvarez, Consuelo; Hernández, A; Pico, VM; Figueroa, Inés; ",Modelo de pronóstico del tizón temprano (Alternaria solani Sor.) en papa y tomate en Cuba.,Fitosanidad,3,3,,1999,
"Skelsey, Pete; ",Multi-scale modeling of potato late blight epidemics,,,,,2008,Wageningen University and Research
"Johnson, Dennis A; Cummings, Thomas F; Ghanem, Rita Abi; Alldredge, J Richard; ",Association of solar irradiance and days of precipitation with incidence of potato late blight in the semiarid environment of the Columbia Basin,Plant disease,93,3,272-280,2009,Am Phytopath Society
"Johnson, Dennis A; Alldredge, J Richard; Hamm, Philip B; ",Expansion of potato late blight forecasting models for the Columbia Basin of Washington and Oregon,Plant Disease,82,6,642-645,1998,Am Phytopath Society
"Andrade-Piedra, Jorge L; Hijmans, Robert J; Forbes, Gregory A; Fry, William E; Nelson, Rebecca J; ",Simulation of potato late blight in the Andes. I: Modification and parameterization of the LATEBLIGHT model,Phytopathology,95,10,1191-1199,2005,Am Phytopath Society
"Andrade-Piedra, Jorge L; Hijmans, Robert J; Juárez, Henry S; Forbes, Gregory A; Shtienberg, Dani; Fry, William E; ",Simulation of potato late blight in the Andes. II: Validation of the LATEBLIGHT model,Phytopathology,95,10,1200-1208,2005,Am Phytopath Society
"Johnson, Dennis A; Alldredge, J Richard; Vakoch, Daniel L; ",Potato late blight forecasting models for the semiarid environment of south-central Washington,Phytopathology,86,5,480-484,1996,"[St. Paul, Minn., etc.: American Phytopathological Society]"
"Olanya, OM; Starr, GC; Honeycutt, CW; Griffin, TS; Lambert, DH; ",Microclimate and potential for late blight development in irrigated potato,Crop Protection,26,9,1412-1421,2007,Elsevier
"Thind, TS; Bala, Anju; Mukerjee, J; Jolly, RK; Kumar, Pradeep; Singh, Amarjeet; Sekhon, PS; ",Development of a web-based decision support system for late blight of potato,Plant Disease Research,28,1,64-70,2013,Indian Society of Plant Pathologists
"Skelsey, P; Werf, W van der; Rossing, WAH; Kessel, GJT; Holtslag, AAM; ",Simulation of potato late blight in the Netherlands: validation of the BLIGHTSPACE model reveals dichotomy in the epidemiological effects of resistance components.,,,,,2007,
"Ahn, JH; Hahm, YI; Park, CS; Kim, BH; Kim, JK; ",Modelling for prediction of potato late blight (Phytophthora infestans) by meteorological elements.,,,,,1994,
"Dar, WA; Parry, FA; Bhat, BA; ",Potato late blight disease prediction using meteorological parameters in Northern Himalayas of India,Journal of Agrometeorology,23,3,310-315,2021,
"Gent, David H; Schwartz, Howard F; ",Validation of potato early blight disease forecast models for Colorado using various sources of meteorological data,Plant disease,87,1,78-84,2003,Am Phytopath Society
"Blandón-Díaz, Jorge Ulises; Forbes, Gregory A; Andrade-Piedra, Jorge L; Yuen, Jonathan E; ",Assessing the adequacy of the simulation model LATEBLIGHT under Nicaraguan conditions,Plant disease,95,7,839-846,2011,Am Phytopath Society
"Abderrahmane, Omar; Berdja, Rafik; Ammad, Faiza; Bensaci, Oussama Ali; Benchabane, Messaoud; ",Potato late blight (Phytophthora infestans) disease forecasting using an auto-encoded long short-term memory recurrent neural networks in North-Western Algeria,Archives of Phytopathology and Plant Protection,55,13,1542-1557,2022,Taylor & Francis
"Colturato, AB; Chavier, LFC; ",Decision support system for late blight in tomato and potato,XV International Symposium on Processing Tomato 1233,,,19-26,2018,
